imageid,key1
munster_000000_000029_leftImg8bit,0.592706816226
munster_000001_000029_leftImg8bit,0.633420519848
munster_000002_000029_leftImg8bit,0.297986149896
munster_000003_000029_leftImg8bit,0.811725938574
munster_000004_000029_leftImg8bit,0.489474545078
munster_000005_000029_leftImg8bit,0.486979586053
munster_000006_000029_leftImg8bit,0.536681854967
munster_000007_000029_leftImg8bit,0.923630566842
munster_000008_000029_leftImg8bit,0.822712220008
munster_000009_000029_leftImg8bit,0.0122176210035
munster_000010_000029_leftImg8bit,0.0245906893741
munster_000011_000029_leftImg8bit,0.412799378746
munster_000012_000029_leftImg8bit,0.826088510878
munster_000013_000029_leftImg8bit,0.87397210263
munster_000014_000029_leftImg8bit,0.625091482347
munster_000015_000029_leftImg8bit,0.654610211438
munster_000016_000029_leftImg8bit,0.537767900143
munster_000017_000029_leftImg8bit,0.0383957500877
munster_000018_000029_leftImg8bit,0.436313463354
munster_000019_000029_leftImg8bit,0.917230301717
munster_000020_000029_leftImg8bit,0.295413860653
munster_000021_000029_leftImg8bit,0.762329057442
munster_000022_000029_leftImg8bit,0.147761857873
munster_000023_000029_leftImg8bit,0.151072855123
munster_000024_000029_leftImg8bit,0.85510291176
munster_000025_000029_leftImg8bit,0.0524748815948
munster_000026_000029_leftImg8bit,0.309528689253
munster_000027_000029_leftImg8bit,0.955439038328
munster_000028_000029_leftImg8bit,0.560113873162
munster_000029_000029_leftImg8bit,0.126080865075
munster_000030_000029_leftImg8bit,0.127429228924
munster_000031_000029_leftImg8bit,0.209687191022
munster_000032_000029_leftImg8bit,0.23062095252
munster_000033_000029_leftImg8bit,0.149675165709
munster_000034_000029_leftImg8bit,0.702762595884
munster_000035_000029_leftImg8bit,0.319218256027
munster_000036_000029_leftImg8bit,0.133780877143
munster_000037_000029_leftImg8bit,0.641303456506
munster_000038_000029_leftImg8bit,0.277138003398
munster_000039_000029_leftImg8bit,0.612640000488
munster_000040_000029_leftImg8bit,0.73409271808
munster_000041_000029_leftImg8bit,0.17553705275
munster_000042_000029_leftImg8bit,0.464408945929
munster_000043_000029_leftImg8bit,0.491976157915
munster_000044_000029_leftImg8bit,0.628752740192
munster_000045_000029_leftImg8bit,0.32820331569
munster_000046_000029_leftImg8bit,0.884699121596
munster_000047_000029_leftImg8bit,0.950936035596
munster_000048_000029_leftImg8bit,0.0415552429052
munster_000049_000029_leftImg8bit,0.419674438576
munster_000050_000029_leftImg8bit,0.908318700038
munster_000051_000029_leftImg8bit,0.13943764629
munster_000052_000029_leftImg8bit,0.737334278497
munster_000053_000029_leftImg8bit,0.069375773521
munster_000054_000029_leftImg8bit,0.154312067558
munster_000055_000029_leftImg8bit,0.73654175167
munster_000056_000029_leftImg8bit,0.908969175661
munster_000057_000029_leftImg8bit,0.00585295870388
munster_000058_000029_leftImg8bit,0.689182281551
munster_000059_000029_leftImg8bit,0.355242700091
munster_000060_000029_leftImg8bit,0.802156386836
munster_000061_000029_leftImg8bit,0.89878233668
munster_000062_000029_leftImg8bit,0.341430809089
munster_000063_000029_leftImg8bit,0.860582068241
munster_000064_000029_leftImg8bit,0.143261706164
munster_000065_000029_leftImg8bit,0.11154353707
munster_000066_000029_leftImg8bit,0.637374251124
munster_000067_000029_leftImg8bit,0.656388683365
munster_000068_000029_leftImg8bit,0.858657333893
munster_000069_000029_leftImg8bit,0.299915936321
munster_000070_000029_leftImg8bit,0.289009927136
munster_000071_000029_leftImg8bit,0.927053623975
munster_000072_000029_leftImg8bit,0.597914751389
munster_000073_000029_leftImg8bit,0.286399982644
munster_000074_000029_leftImg8bit,0.0946522980948
munster_000075_000029_leftImg8bit,0.0641348615827
munster_000076_000029_leftImg8bit,0.158705290806
munster_000077_000029_leftImg8bit,0.587030322552
munster_000078_000029_leftImg8bit,0.526018031344
munster_000079_000029_leftImg8bit,0.858083146544
munster_000080_000029_leftImg8bit,0.275427221747
munster_000081_000029_leftImg8bit,0.963747447892
munster_000082_000029_leftImg8bit,0.704014505638
munster_000083_000029_leftImg8bit,0.607522550094
munster_000084_000029_leftImg8bit,0.242834944246
munster_000085_000029_leftImg8bit,0.383326713075
munster_000086_000029_leftImg8bit,0.841703068528
munster_000087_000029_leftImg8bit,0.454547065975
